                   t               x1(t)               x2(t)           DeltaX(t)
  5.1666666666667E-01 -9.4833333333333E+00 -2.0687970788476E+00  7.4145362544857E+00
  5.2500000000000E-01 -9.4750000000000E+00 -2.1645678944199E+00  7.3104321055801E+00
  5.3333333333333E-01 -9.4666666666667E+00 -2.2602728173271E+00  7.2063938493396E+00
  5.4166666666667E-01 -9.4583333333333E+00 -2.3559119024570E+00  7.1024214308763E+00
  5.5000000000000E-01 -9.4500000000000E+00 -2.4514852046516E+00  6.9985147953484E+00
  5.5833333333333E-01 -9.4416666666667E+00 -2.5469927787071E+00  6.8946738879596E+00
  5.6666666666667E-01 -9.4333333333333E+00 -2.6424346793742E+00  6.7908986539592E+00
  5.7500000000000E-01 -9.4250000000000E+00 -2.7378109613578E+00  6.6871890386422E+00
  5.8333333333333E-01 -9.4166666666667E+00 -2.8331216793175E+00  6.5835449873492E+00
  5.9166666666667E-01 -9.4083333333333E+00 -2.9283668878671E+00  6.4799664454662E+00
  6.0000000000000E-01 -9.4000000000000E+00 -3.0235466415751E+00  6.3764533584249E+00
  6.0833333333333E-01 -9.3916666666667E+00 -3.1186609949646E+00  6.2730056717021E+00
  6.1666666666667E-01 -9.3833333333333E+00 -3.2137100025129E+00  6.1696233308204E+00
  6.2500000000000E-01 -9.3750000000000E+00 -3.3086937186524E+00  6.0663062813476E+00
  6.3333333333333E-01 -9.3666666666667E+00 -3.4036121977699E+00  5.9630544688968E+00
  6.4166666666667E-01 -9.3583333333333E+00 -3.4984654942069E+00  5.8598678391265E+00
  6.5000000000000E-01 -9.3500000000000E+00 -3.5932536622597E+00  5.7567463377403E+00
  6.5833333333333E-01 -9.3416666666667E+00 -3.6879767561793E+00  5.6536899104874E+00
  6.6666666666667E-01 -9.3333333333333E+00 -3.7826348301715E+00  5.5506985031618E+00
  6.7500000000000E-01 -9.3250000000000E+00 -3.8772279383972E+00  5.4477720616027E+00
  6.8333333333333E-01 -9.3166666666667E+00 -3.9717561349719E+00  5.3449105316948E+00
  6.9166666666667E-01 -9.3083333333333E+00 -4.0662194739661E+00  5.2421138593673E+00
  7.0000000000000E-01 -9.3000000000000E+00 -4.1606180094052E+00  5.1393819905948E+00
  7.0833333333333E-01 -9.2916666666667E+00 -4.2549517952697E+00  5.0367148713970E+00
  7.1666666666667E-01 -9.2833333333333E+00 -4.3492208854952E+00  4.9341124478381E+00
  7.2500000000000E-01 -9.2750000000000E+00 -4.4434253339721E+00  4.8315746660279E+00
  7.3333333333333E-01 -9.2666666666667E+00 -4.5375651945463E+00  4.7291014721203E+00
  7.4166666666667E-01 -9.2583333333333E+00 -4.6316405210185E+00  4.6266928123149E+00
  7.5000000000000E-01 -9.2500000000000E+00 -4.7256513671447E+00  4.5243486328553E+00
  7.5833333333333E-01 -9.2416666666667E+00 -4.8195977866362E+00  4.4220688800305E+00
  7.6666666666667E-01 -9.2333333333333E+00 -4.9134798331595E+00  4.3198535001739E+00
  7.7500000000000E-01 -9.2250000000000E+00 -5.0072975603363E+00  4.2177024396637E+00
  7.8333333333333E-01 -9.2166666666667E+00 -5.1010510217438E+00  4.1156156449228E+00
  7.9166666666667E-01 -9.2083333333333E+00 -5.1947402709146E+00  4.0135930624187E+00
  8.0000000000000E-01 -9.2000000000000E+00 -5.2883653613364E+00  3.9116346386636E+00
  8.0833333333333E-01 -9.1916666666667E+00 -5.3819263464527E+00  3.8097403202139E+00
  8.1666666666667E-01 -9.1833333333333E+00 -5.4754232796623E+00  3.7079100536710E+00
  8.2500000000000E-01 -9.1750000000000E+00 -5.5688562143196E+00  3.6061437856805E+00
  8.3333333333333E-01 -9.1666666666667E+00 -5.6622252037343E+00  3.5044414629323E+00
  8.4166666666667E-01 -9.1583333333333E+00 -5.7555303011722E+00  3.4028030321611E+00
  8.5000000000000E-01 -9.1500000000000E+00 -5.8487715598543E+00  3.3012284401457E+00
  8.5833333333333E-01 -9.1416666666667E+00 -5.9419490329573E+00  3.1997176337093E+00
  8.6666666666667E-01 -9.1333333333333E+00 -6.0350627736139E+00  3.0982705597194E+00
  8.7500000000000E-01 -9.1250000000000E+00 -6.1281128349122E+00  2.9968871650878E+00
  8.8333333333333E-01 -9.1166666666667E+00 -6.2210992698964E+00  2.8955673967703E+00
  8.9166666666667E-01 -9.1083333333333E+00 -6.3140221315661E+00  2.7943112017672E+00
  9.0000000000000E-01 -9.1000000000000E+00 -6.4068814728772E+00  2.6931185271228E+00
  9.0833333333333E-01 -9.0916666666667E+00 -6.4996773467412E+00  2.5919893199255E+00
  9.1666666666667E-01 -9.0833333333333E+00 -6.5924098060255E+00  2.4909235273078E+00
  9.2500000000000E-01 -9.0750000000000E+00 -6.6850789035538E+00  2.3899210964462E+00
  9.3333333333333E-01 -9.0666666666667E+00 -6.7776846921055E+00  2.2889819745612E+00
  9.4166666666667E-01 -9.0583333333333E+00 -6.8702272244159E+00  2.1881061089174E+00
  9.5000000000000E-01 -9.0500000000000E+00 -6.9627065531769E+00  2.0872934468232E+00
  9.5833333333333E-01 -9.0416666666667E+00 -7.0551227310359E+00  1.9865439356308E+00
  9.6666666666667E-01 -9.0333333333333E+00 -7.1474758105969E+00  1.8858575227365E+00
  9.7500000000000E-01 -9.0250000000000E+00 -7.2397658444198E+00  1.7852341555802E+00
